pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k,Rel_soil_fertility_category
45682752,1,1,1,1,1,0,1,0,0
45682788,0,0,1,3,0,1,3,0,0
45702780,0,0,1,2,1,2,2,0,0
45722786,2,2,0,1,1,0,1,0,1
45742754,1,1,0,1,0,0,1,0,0
45762794,1,1,1,0,1,2,0,0,0
45782760,3,3,1,3,1,2,4,2,1
45822828,0,0,1,3,1,1,3,0,0
45822832,4,4,0,0,0,1,0,0,2
45842754,2,2,0,0,0,0,1,0,1
45842800,3,3,0,0,0,1,0,0,1
45842808,2,2,1,0,1,0,0,0,1
45902738,0,0,1,4,1,2,4,1,0
45902768,3,3,2,0,0,2,1,2,1
45922802,4,4,1,0,0,1,1,0,2
45962734,3,4,1,1,1,0,0,1,1
45962820,1,2,0,1,1,0,1,1,0
45982782,0,0,0,2,1,1,2,0,0
46002792,3,3,2,1,0,0,1,0,1
46042842,1,1,0,0,1,0,0,0,0
46082830,2,2,1,0,1,2,0,1,1
46102852,1,0,1,1,1,1,1,0,0
46142788,3,3,1,0,0,2,0,1,1
46182828,1,1,0,0,1,0,1,0,0
46202782,4,4,1,0,0,1,0,0,2
46202812,4,4,1,0,0,1,0,0,2
46222770,2,2,0,0,1,1,0,0,1
46222796,3,3,2,0,0,2,1,0,1
46242762,3,3,1,0,0,0,1,1,1
46262776,4,4,0,0,0,1,0,0,2
46262786,0,0,0,1,0,1,1,0,0
46322834,2,2,0,0,1,0,1,1,1
46342786,2,3,0,0,1,2,0,0,1
46382834,2,2,0,0,0,0,1,1,1
46422762,4,4,2,2,1,0,2,0,2
46462834,1,2,0,1,1,0,1,0,0
46482830,2,2,0,0,1,0,1,0,1
46502766,3,3,1,1,0,0,1,0,1
46522836,2,2,0,1,1,0,2,1,1
46562812,2,2,1,0,1,0,1,0,1
46582774,3,3,0,1,0,0,1,0,1
46602762,2,2,0,1,0,0,1,1,1
46642772,2,2,0,1,1,0,1,1,1
46642802,3,3,1,1,0,3,1,2,1
46682824,0,0,0,2,0,1,2,0,0
46742758,2,1,1,0,1,0,1,0,1
46822808,0,0,1,1,1,2,2,1,0
46902810,3,3,0,0,1,1,0,0,1
45102682,2,2,0,0,0,0,0,0,1
45102684,1,1,1,1,1,1,2,0,0
45102688,1,1,1,1,1,1,1,0,0
45122688,2,1,1,1,1,1,1,0,1
45182728,2,2,0,1,0,0,1,1,1
45222700,0,0,1,3,0,1,3,1,0
45242698,0,0,0,3,0,2,3,1,0
45242722,1,1,1,3,0,1,3,0,0
45282706,1,1,1,1,1,1,2,0,0
45342706,2,2,0,0,1,0,1,0,1
45402772,3,3,1,1,0,1,2,0,1
45442740,3,3,2,2,0,0,2,0,1
45442766,0,0,0,1,1,0,1,0,0
45462760,1,2,0,0,1,1,1,0,0
45462768,2,2,1,0,1,0,1,0,1
45482700,0,0,1,1,0,1,1,0,0
45482768,2,1,1,0,1,1,1,0,1
45502692,1,1,2,1,1,1,1,0,0
45502702,1,1,0,0,1,0,0,0,0
45522750,3,3,1,1,0,1,2,1,1
45542694,1,1,2,1,1,0,1,0,0
45562730,2,2,2,1,0,0,2,0,1
45562732,4,3,1,1,2,0,2,0,2
45582678,1,1,1,2,1,2,2,1,0
45582696,4,4,1,1,1,2,1,0,2
45602672,0,0,1,1,0,2,1,0,0
45602698,0,0,1,1,1,1,1,0,0
45602738,1,2,0,1,0,0,2,1,0
45622768,0,0,1,1,1,0,1,0,0
45642688,0,0,2,1,1,1,2,1,0
45642724,3,4,1,1,2,0,1,0,1
45642750,4,4,1,1,1,0,1,0,2
45662730,2,2,2,3,0,1,3,1,1
45782694,2,1,2,1,1,2,2,1,1
45802718,0,0,0,1,0,0,1,0,0
45842740,2,2,0,1,0,0,1,0,1
45882676,1,1,0,2,1,0,2,0,0
45922694,3,2,2,1,1,1,1,0,1
46082678,0,0,0,2,1,1,1,0,0
46122668,1,1,2,2,0,1,2,3,0
46122678,0,0,0,2,0,0,2,0,0
43482670,0,1,0,2,0,1,2,0,0
43562686,2,2,2,3,0,1,3,1,1
43662688,3,3,1,2,3,0,2,1,1
43702704,3,3,1,2,0,0,2,1,1
43782660,0,0,0,1,1,1,1,0,0
43782700,1,1,0,1,0,0,1,0,0
43802684,4,3,2,2,1,1,3,0,2
43802702,3,3,2,2,1,0,2,0,1
43862700,3,3,2,2,0,1,2,0,1
43902682,1,1,0,1,0,0,1,0,0
43962686,4,4,1,1,0,0,1,0,2
44042690,4,4,1,1,1,0,1,0,2
44082690,1,1,0,2,1,0,2,0,0
44102696,3,3,1,2,1,0,1,0,1
44142686,3,3,2,3,0,1,3,1,1
44222668,3,3,1,1,0,2,2,0,1
44282656,3,3,2,3,0,1,4,1,1
44302680,1,1,1,1,0,1,2,0,0
44302682,3,2,1,1,1,0,2,0,1
44382670,3,3,2,1,0,0,2,0,1
44382684,3,3,2,2,0,2,2,0,1
44382686,0,0,1,1,1,0,2,0,0
44402664,1,1,0,1,0,0,1,0,0
44502714,3,3,2,3,3,1,3,1,1
44562702,1,1,2,4,0,2,4,1,0
44582712,3,3,0,1,0,0,1,0,1
44622708,3,3,1,1,0,0,1,0,1
44662698,0,0,0,1,0,0,1,0,0
44782720,2,2,1,2,0,0,2,0,1
44822704,0,0,1,1,0,0,1,0,0
44862710,1,1,1,0,1,0,1,0,0
44862714,1,2,0,1,1,1,1,0,0
44862732,3,3,2,1,0,1,2,0,1
44882726,2,2,1,1,1,0,2,0,1
44922728,2,2,1,1,1,0,2,0,1
44962698,2,1,2,3,0,1,2,0,1
45002638,2,2,1,1,1,1,1,1,1
45102712,1,1,1,1,1,1,2,0,0
45182714,3,3,2,2,0,0,2,0,1
45202708,0,1,1,4,0,3,4,2,0
45242636,1,0,1,2,1,0,1,0,0
45362638,4,4,1,0,0,0,0,0,2
42882682,3,3,1,1,1,0,1,0,1
42942690,2,2,1,1,0,2,2,0,1
42982676,3,3,1,1,2,1,1,0,1
43002704,4,4,1,0,2,0,1,0,2
43122702,1,1,0,0,1,0,1,0,0
43122714,3,3,1,1,0,0,1,0,1
43162706,1,1,0,1,1,0,1,0,0
43202710,0,0,0,1,1,0,1,0,0
43322692,0,0,0,2,0,1,2,0,0
43362694,2,2,0,1,1,0,1,0,1
39303122,3,3,2,1,0,4,1,2,1
39443132,2,2,0,0,1,2,0,1,1
39443158,2,2,0,0,1,2,0,0,1
39543124,0,0,0,0,1,1,0,0,0
39543150,0,0,0,1,0,1,1,0,0
39623132,0,0,1,3,0,4,3,0,0
39683136,0,0,0,0,0,3,0,0,0
39743134,1,2,0,0,1,2,0,0,0
39743148,0,0,0,1,0,2,1,0,0
39783128,1,1,1,0,1,1,1,0,0
39803126,1,1,0,0,0,1,0,0,0
39843144,2,3,0,0,1,3,0,0,1
